question_id,clean_text
q1271,tag_24 tag_50 tag_181 tag_184
q1290,tag_24 tag_43 tag_181 tag_185
q514,tag_24 tag_33 tag_181 tag_183
q958,tag_30 tag_28 tag_29 tag_181 tag_182
q362,tag_30 tag_28 tag_29 tag_182 tag_181
q71,tag_1 tag_2 tag_179 tag_181
q8095,tag_20 tag_21 tag_179 tag_183
q161,tag_5 tag_2 tag_181
q43,tag_16 tag_2 tag_183
q8153,tag_6 tag_7 tag_183
q8061,tag_180 tag_2 tag_183
q95,tag_8 tag_2 tag_179 tag_181
q146,tag_6 tag_7 tag_179 tag_181
q131,tag_19 tag_2 tag_181
q154,tag_18 tag_7 tag_181
q8050,tag_8 tag_2 tag_179 tag_182
q129,tag_9 tag_2 tag_183
q8110,tag_3 tag_2 tag_182
q163,tag_6 tag_7 tag_185
q8111,tag_10 tag_7 tag_179 tag_183
q8058,tag_4 tag_2 tag_182
q116,tag_16 tag_2 tag_179 tag_182
q185,tag_11 tag_7 tag_183
q8128,tag_12 tag_2 tag_181
q8126,tag_17 tag_7 tag_179 tag_183
q8103,tag_16 tag_2 tag_181
q8063,tag_17 tag_7 tag_181
q8052,tag_20 tag_21 tag_179 tag_184
q166,tag_18 tag_7 tag_185
q189,tag_8 tag_2 tag_185
q8143,tag_3 tag_2 tag_179 tag_181
q100,tag_22 tag_2 tag_181
q8077,tag_14 tag_2 tag_183
q8134,tag_17 tag_7 tag_179 tag_184
q47,tag_4 tag_2 tag_179 tag_183
q8124,tag_6 tag_7 tag_183
q53,tag_19 tag_2 tag_183
q1,tag_1 tag_2 tag_179 tag_181
q1015,tag_44 tag_45 tag_181 tag_185
q654,tag_23 tag_24 tag_25 tag_183 tag_181
q2319,tag_179 tag_53 tag_183 tag_184
q2320,tag_52 tag_183 tag_184
q2321,tag_52 tag_183 tag_184
q2175,tag_53 tag_184 tag_183
q2176,tag_179 tag_52 tag_184 tag_183
q2177,tag_54 tag_184 tag_183
q2154,tag_56 tag_182 tag_183
q2155,tag_53 tag_182 tag_183
q2156,tag_54 tag_182 tag_183
q1749,tag_52 tag_185 tag_186
q1750,tag_58 tag_185 tag_186
q1751,tag_54 tag_185 tag_186
q1887,tag_56 tag_183 tag_182
q1888,tag_52 tag_183 tag_182
q1889,tag_57 tag_183 tag_182
q1728,tag_53 tag_182 tag_183
q1729,tag_58 tag_182 tag_183
q1730,tag_55 tag_182 tag_183
q1869,tag_53 tag_182 tag_183
q1870,tag_57 tag_182 tag_183
q1871,tag_55 tag_182 tag_183
q1797,tag_53 tag_182 tag_181
q1798,tag_54 tag_182 tag_181
q1799,tag_55 tag_182 tag_181
q1941,tag_53 tag_181 tag_182
q1942,tag_179 tag_54 tag_181 tag_182
q1943,tag_55 tag_181 tag_182
q1683,tag_56 tag_183 tag_185
q1684,tag_179 tag_53 tag_183 tag_185
q1685,tag_55 tag_183 tag_185
q1773,tag_52 tag_185 tag_184 tag_183
q1774,tag_54 tag_185 tag_184 tag_183
q1775,tag_52 tag_185 tag_184 tag_183
q2559,tag_53 tag_181 tag_182
q2560,tag_54 tag_181 tag_182
q2561,tag_179 tag_52 tag_181 tag_182
q1215,tag_30 tag_24 tag_33 tag_185 tag_181
q315,tag_24 tag_26 tag_181 tag_183
q1167,tag_179 tag_34 tag_35 tag_182 tag_181
q197,tag_24 tag_25 tag_183 tag_181
q414,tag_30 tag_34 tag_42 tag_185 tag_181
q1396,tag_24 tag_25 tag_182 tag_181
q876,tag_179 tag_44 tag_45 tag_181 tag_185
q1389,tag_28 tag_29 tag_184 tag_181
q416,tag_30 tag_28 tag_29 tag_185 tag_181
q6440,tag_94
q4131,tag_134
q237,tag_23 tag_46 tag_47 tag_185 tag_181
q4526,tag_95
q6335,tag_79
q5286,tag_79
q4820,tag_144
q6502,tag_113
q5767,tag_133
q6550,tag_128
q836,tag_24 tag_50 tag_184 tag_181
q424,tag_27 tag_24 tag_26 tag_185 tag_183
q498,tag_30 tag_24 tag_25 tag_181 tag_183
q1012,tag_23 tag_24 tag_33 tag_184 tag_185
q469,tag_179 tag_28 tag_29 tag_182 tag_184
q636,tag_31 tag_32 tag_184 tag_183
q1325,tag_30 tag_38 tag_39 tag_181 tag_185
q711,tag_24 tag_50 tag_185 tag_183
q510,tag_34 tag_35 tag_184 tag_182
q598,tag_24 tag_48 tag_182 tag_183
q1067,tag_28 tag_29 tag_184 tag_183
q444,tag_30 tag_179 tag_28 tag_29 tag_185 tag_184
q1288,tag_24 tag_26 tag_185 tag_183
q591,tag_28 tag_29 tag_183 tag_181
q1194,tag_30 tag_31 tag_32 tag_182 tag_184
q639,tag_51 tag_24 tag_33 tag_181 tag_183
q419,tag_34 tag_42 tag_185 tag_183
q789,tag_179 tag_31 tag_32 tag_185 tag_183
q681,tag_24 tag_26 tag_182 tag_183
q1182,tag_179 tag_46 tag_47 tag_183 tag_182
q754,tag_28 tag_29 tag_183 tag_184
q1378,tag_34 tag_42 tag_182 tag_183
q219,tag_44 tag_45 tag_185 tag_184
q570,tag_24 tag_40 tag_184 tag_181
q997,tag_179 tag_44 tag_49 tag_183 tag_181
q5459,tag_96
q4765,tag_118
q4099,tag_83
q5329,tag_115
q4288,tag_94
q4698,tag_71
q4597,tag_134
q5322,tag_114
q6242,tag_94
q6390,tag_111
q5741,tag_118
q5280,tag_93
q4505,tag_75
q5342,tag_135
q4300,tag_138
q5058,tag_85
q5395,tag_133
q5769,tag_89
q5676,tag_122
q5683,tag_137
q5381,tag_84
q3967,tag_83
q4262,tag_96
q4645,tag_71
q5667,tag_124
q6466,tag_91
q4438,tag_104
q4822,tag_90
q4283,tag_83
q4324,tag_76
q5328,tag_115
q5390,tag_138
q3931,tag_107
q4536,tag_126
q9592,tag_119
q6732,tag_130
q4821,tag_83
q8170,tag_10 tag_7 tag_184
q16,tag_20 tag_21 tag_182
q187,tag_4 tag_2 tag_181
q162,tag_3 tag_2 tag_183
q34,tag_5 tag_2 tag_179 tag_181
q4200,tag_101
q3756,tag_96
q4476,tag_111
q3935,tag_142
q4199,tag_124
q3947,tag_76
q4470,tag_109
q6469,tag_81
q4565,tag_131
q5560,tag_84
q6332,tag_94
q3795,tag_86
q5186,tag_74
q5318,tag_92
q5595,tag_98
q4490,tag_115
q4877,tag_132
q6724,tag_77
q3928,tag_141
q4591,tag_117
q4791,tag_94
q5220,tag_126
q4113,tag_105
q4498,tag_117
q6101,tag_120
q6497,tag_115
q4280,tag_83
q5049,tag_144
q4096,tag_99
q3625,tag_74
q65,tag_12 tag_2 tag_183
q188,tag_19 tag_2 tag_185
q192,tag_3 tag_2 tag_185
q24,tag_6 tag_7 tag_184
q8053,tag_6 tag_7 tag_181
q5785,tag_109
q3678,tag_85
q5909,tag_80
q4189,tag_81
q5624,tag_96
q5524,tag_82
q5757,tag_103
q3909,tag_124
q4920,tag_77
q10048,tag_78
q103,tag_4 tag_2 tag_184
q8057,tag_8 tag_2 tag_183
q8065,tag_22 tag_2 tag_183
q111,tag_13 tag_2 tag_181
q8172,tag_20 tag_21 tag_182
q8140,tag_3 tag_2 tag_181
q8181,tag_14 tag_2 tag_183
q149,tag_13 tag_2 tag_181
q38,tag_3 tag_2 tag_182
q7,tag_11 tag_7 tag_179 tag_183
q15,tag_14 tag_2 tag_181
q10,tag_17 tag_7 tag_182
q135,tag_4 tag_2 tag_183
q190,tag_6 tag_7 tag_181
q56,tag_15 tag_2 tag_179 tag_182
q32,tag_3 tag_2 tag_179 tag_182
q108,tag_10 tag_7 tag_182
q9471,tag_106
q5267,tag_123
q4474,tag_110
q4601,tag_135
q8545,tag_85
q5056,tag_110
q5330,tag_116
q4153,tag_88
q8189,tag_74
q4747,tag_101
q5362,tag_78
q8080,tag_1 tag_2 tag_185
q195,tag_20 tag_21 tag_185
q8056,tag_5 tag_2 tag_184
q8054,tag_6 tag_7 tag_179 tag_182
q183,tag_15 tag_2 tag_179 tag_183
q8125,tag_18 tag_7 tag_184
q49,tag_6 tag_7 tag_179 tag_183
q170,tag_9 tag_2 tag_183
q8086,tag_9 tag_2 tag_183
q8075,tag_22 tag_2 tag_183
q8096,tag_19 tag_2 tag_184
q8099,tag_16 tag_2 tag_183
q8131,tag_18 tag_7 tag_181
q66,tag_15 tag_2 tag_185
q186,tag_12 tag_2 tag_182
q8105,tag_4 tag_2 tag_183
q8112,tag_1 tag_2 tag_179 tag_184
q175,tag_17 tag_7 tag_184
q13,tag_1 tag_2 tag_183
q99,tag_18 tag_7 tag_179 tag_182
q1181,tag_24 tag_43 tag_184 tag_181
q334,tag_24 tag_50 tag_185 tag_184
q605,tag_38 tag_37 tag_181 tag_184
q1160,tag_184 tag_181
q1285,tag_179 tag_38 tag_39 tag_182 tag_181
q778,tag_44 tag_45 tag_183 tag_181
q536,tag_30 tag_179 tag_38 tag_39 tag_183 tag_181
q1349,tag_24 tag_48 tag_182 tag_183
q477,tag_44 tag_45 tag_183 tag_181
q210,tag_36 tag_32 tag_185 tag_181
q957,tag_27 tag_36 tag_37 tag_184 tag_183
q1005,tag_30 tag_38 tag_39 tag_182 tag_184
q769,tag_23 tag_24 tag_25 tag_183 tag_185
q3921,tag_132
q276,tag_30 tag_34 tag_35 tag_183 tag_182
q1295,tag_30 tag_44 tag_45 tag_181 tag_185
q384,tag_44 tag_45 tag_185 tag_183
q4521,tag_73
q5575,tag_104
q6402,tag_77
q6394,tag_77
q4114,tag_76
q8690,tag_119
q4492,tag_116
q1315,tag_38 tag_39 tag_181 tag_185
q4291,tag_84
q4607,tag_78
q4617,tag_83
q6173,tag_77
q5135,tag_74
q4045,tag_133
q6507,tag_114
q3655,tag_105
q3767,tag_86
q4484,tag_81
q9671,tag_85
q5442,tag_96
q4494,tag_114
q5257,tag_125
q8907,tag_78
q5746,tag_129
q8687,tag_122
q6740,tag_102
q8837,tag_111
q5406,tag_134
q10274,tag_76
q5662,tag_87
q4500,tag_117
q4517,tag_79
q8196,tag_83
q1050,tag_36 tag_37 tag_185 tag_181
q670,tag_179 tag_34 tag_42 tag_182 tag_183
q543,tag_24 tag_50 tag_182 tag_183
q11261,tag_30 tag_44 tag_49 tag_184 tag_181
q198,tag_31 tag_32 tag_185 tag_183
q926,tag_24 tag_40 tag_182 tag_181
q764,tag_23 tag_24 tag_25 tag_183 tag_181
q11259,tag_27 tag_44 tag_49 tag_181 tag_184
q954,tag_30 tag_31 tag_42 tag_184 tag_182
q1185,tag_24 tag_41 tag_182 tag_181
q287,tag_30 tag_34 tag_35 tag_182 tag_181
q11262,tag_30 tag_44 tag_49 tag_183 tag_182
q600,tag_23 tag_24 tag_33 tag_184 tag_181
q648,tag_30 tag_44 tag_45 tag_182 tag_181
q478,tag_34 tag_42 tag_182 tag_184
q11263,tag_30 tag_44 tag_49 tag_182 tag_183
q698,tag_30 tag_24 tag_25 tag_183 tag_182
q534,tag_34 tag_42 tag_181 tag_185
q5580,tag_84
q4901,tag_79
q3665,tag_144
q8611,tag_77
q5511,tag_82
q9828,tag_141
q5082,tag_88
q355,tag_30 tag_36 tag_37 tag_184 tag_181
q1210,tag_27 tag_24 tag_26 tag_181 tag_185
q406,tag_46 tag_47 tag_183 tag_181
q587,tag_36 tag_37 tag_181 tag_183
q1291,tag_46 tag_47 tag_184 tag_183
q677,tag_31 tag_32 tag_181 tag_182
q1108,tag_36 tag_37 tag_183 tag_185
q393,tag_185 tag_183 tag_30 tag_36 tag_37
q848,tag_24 tag_48 tag_183 tag_181
q4193,tag_85
q5731,tag_75
q10119,tag_77
q5680,tag_85
q6015,tag_98
q8740,tag_138
q4129,tag_77
q4632,tag_132
q10191,tag_77
q250,tag_179 tag_38 tag_39 tag_181 tag_185
q814,tag_24 tag_40 tag_185 tag_183
q1106,tag_31 tag_32 tag_185 tag_181
q854,tag_23 tag_24 tag_25 tag_181 tag_185
q970,tag_27 tag_38 tag_37 tag_182 tag_181
q1388,tag_24 tag_41 tag_184 tag_183
q474,tag_31 tag_32 tag_182 tag_183
q1392,tag_34 tag_42 tag_181 tag_183
q767,tag_24 tag_48 tag_181 tag_183
q4181,tag_135
q5231,tag_95
q4495,tag_114
q5305,tag_130
q5416,tag_134
q4304,tag_113
q5516,tag_82
q9106,tag_76
q5687,tag_124
q3692,tag_126
q278,tag_27 tag_46 tag_47 tag_181 tag_183
q569,tag_24 tag_48 tag_182 tag_183
q1227,tag_24 tag_26 tag_183 tag_181
q1052,tag_179 tag_38 tag_39 tag_183 tag_181
q506,tag_44 tag_45 tag_184 tag_182
q722,tag_51 tag_24 tag_33 tag_185 tag_181
q281,tag_44 tag_45 tag_184 tag_182
q455,tag_23 tag_24 tag_33 tag_184 tag_182
q1244,tag_34 tag_35 tag_185 tag_181
q1379,tag_24 tag_48 tag_184 tag_182
q5648,tag_128
q10145,tag_85
q6454,tag_88
q4402,tag_137
q5339,tag_92
q9086,tag_78
q6056,tag_90
q5348,tag_72
q9578,tag_125
q10327,tag_71
q550,tag_24 tag_41 tag_181 tag_184
q1041,tag_28 tag_29 tag_181 tag_183
q927,tag_179 tag_34 tag_35 tag_184 tag_182
q678,tag_38 tag_37 tag_182 tag_183
q881,tag_27 tag_179 tag_44 tag_45 tag_181 tag_182
q1193,tag_51 tag_24 tag_33 tag_181 tag_183
q1156,tag_31 tag_32 tag_182 tag_181
q749,tag_24 tag_41 tag_183 tag_184
q457,tag_23 tag_24 tag_25 tag_183 tag_182
q540,tag_28 tag_45 tag_184 tag_183
q853,tag_31 tag_32 tag_183 tag_185
q866,tag_44 tag_45 tag_185 tag_183
q1367,tag_30 tag_36 tag_37 tag_182 tag_181
q1330,tag_24 tag_40 tag_185 tag_181
q431,tag_179 tag_24 tag_43 tag_183 tag_185
q693,tag_34 tag_35 tag_181 tag_183
q485,tag_30 tag_34 tag_35 tag_184 tag_182
q1161,tag_27 tag_24 tag_25 tag_181 tag_183
q603,tag_24 tag_40 tag_184 tag_182
q5073,tag_93
q9006,tag_78
q6393,tag_77
q5338,tag_116
q4627,tag_119
q9448,tag_85
q847,tag_24 tag_33 tag_184 tag_182
q1345,tag_30 tag_179 tag_46 tag_47 tag_185 tag_183
q803,tag_179 tag_46 tag_47 tag_181 tag_185
q223,tag_36 tag_37 tag_185 tag_183
q415,tag_24 tag_41 tag_185 tag_181
q734,tag_44 tag_45 tag_183 tag_181
q1155,tag_23 tag_24 tag_25 tag_184 tag_182
q1198,tag_24 tag_26 tag_181 tag_183
q267,tag_30 tag_28 tag_29 tag_184 tag_183
q886,tag_36 tag_37 tag_181 tag_184
q4468,tag_108
q9841,tag_85
q4729,tag_91
q4316,tag_101
q5591,tag_80
q10279,tag_77
q5781,tag_107
q4805,tag_92
q5652,tag_140
q8926,tag_81
q715,tag_30 tag_34 tag_35 tag_181 tag_185
q254,tag_36 tag_37 tag_185 tag_183
q618,tag_38 tag_39 tag_182 tag_183
q955,tag_23 tag_24 tag_25 tag_182 tag_184
q1342,tag_36 tag_37 tag_183 tag_181
q403,tag_30 tag_44 tag_45 tag_183 tag_184
q714,tag_30 tag_24 tag_33 tag_183 tag_185
q1229,tag_30 tag_31 tag_32 tag_184 tag_183
q948,tag_36 tag_37 tag_183 tag_184
q6168,tag_76
q5783,tag_107
q8474,tag_74
q9514,tag_83
q4042,tag_116
q6377,tag_85
q5744,tag_129
q8795,tag_76
q5250,tag_73
q5732,tag_88
q200,tag_51 tag_24 tag_26 tag_181 tag_185
q224,tag_28 tag_32 tag_185 tag_183
q1070,tag_30 tag_179 tag_34 tag_35 tag_182 tag_183
q887,tag_44 tag_49 tag_183 tag_184
q266,tag_24 tag_26 tag_181 tag_184
q915,tag_31 tag_42 tag_181 tag_183
q776,tag_23 tag_24 tag_33 tag_185 tag_181
q217,tag_24 tag_48 tag_181 tag_185
q726,tag_46 tag_47 tag_185 tag_183
q6230,tag_77
q9682,tag_85
q3914,tag_126
q4600,tag_135
q4001,tag_118
q10324,tag_77
q4360,tag_103
q5066,tag_93
q6017,tag_96
q9784,tag_74
q270,tag_30 tag_34 tag_35 tag_184 tag_181
q696,tag_27 tag_44 tag_45 tag_182 tag_184
q940,tag_30 tag_179 tag_28 tag_47 tag_181 tag_182
q263,tag_24 tag_48 tag_184 tag_181
q1373,tag_24 tag_50 tag_182 tag_184
q1034,tag_24 tag_26 tag_185 tag_183
q621,tag_23 tag_24 tag_25 tag_183 tag_181
q436,tag_28 tag_42 tag_183 tag_181
q236,tag_44 tag_45 tag_183 tag_185
q326,tag_24 tag_43 tag_183 tag_181
q5739,tag_94
q6224,tag_99
q9869,tag_76
q4537,tag_72
q4410,tag_98
q5336,tag_92
q9810,tag_112
q5941,tag_84
q5071,tag_93
q243,tag_27 tag_28 tag_29 tag_185 tag_183
q1297,tag_24 tag_48 tag_185 tag_181
q1087,tag_34 tag_42 tag_183 tag_182
q975,tag_30 tag_34 tag_42 tag_182 tag_181
q1376,tag_24 tag_43 tag_183 tag_181
q673,tag_30 tag_36 tag_32 tag_183 tag_182
q1107,tag_24 tag_48 tag_183 tag_181
q875,tag_34 tag_35 tag_185 tag_183
q932,tag_24 tag_40 tag_184 tag_181
q589,tag_44 tag_45 tag_182 tag_181
q8120,tag_9 tag_2 tag_183
q157,tag_14 tag_2 tag_179 tag_181
q52,tag_22 tag_2 tag_182
q51,tag_14 tag_2 tag_181
q8094,tag_4 tag_2 tag_179 tag_182
q153,tag_8 tag_2 tag_179 tag_182
q105,tag_5 tag_2 tag_179 tag_182
q109,tag_4 tag_2 tag_183
q8169,tag_5 tag_2 tag_183
q26,tag_6 tag_7 tag_182
q184,tag_20 tag_21 tag_179 tag_184
q5,tag_8 tag_2 tag_179 tag_181
q8182,tag_4 tag_2 tag_182
q46,tag_17 tag_7 tag_179 tag_182
q173,tag_17 tag_7 tag_182
q101,tag_8 tag_2 tag_182
q1233,tag_23 tag_179 tag_24 tag_33 tag_185 tag_183
q358,tag_34 tag_35 tag_181 tag_183
q482,tag_179 tag_46 tag_47 tag_183 tag_181
q1252,tag_30 tag_24 tag_25 tag_181 tag_185
q935,tag_179 tag_24 tag_50 tag_184 tag_183
q841,tag_38 tag_39 tag_184 tag_181
q933,tag_24 tag_48 tag_181 tag_183
q1238,tag_31 tag_32 tag_183 tag_185
q325,tag_38 tag_39 tag_185 tag_181
q823,tag_24 tag_40 tag_183 tag_181
q541,tag_30 tag_31 tag_32 tag_183 tag_181
q731,tag_24 tag_43 tag_185 tag_184
q1286,tag_34 tag_42 tag_184 tag_182
q500,tag_24 tag_43 tag_184 tag_181
q830,tag_27 tag_28 tag_45 tag_184 tag_182
q356,tag_30 tag_34 tag_42 tag_181 tag_183
q784,tag_24 tag_25 tag_184 tag_181
q545,tag_30 tag_179 tag_38 tag_39 tag_184 tag_181
q1104,tag_24 tag_43 tag_181 tag_183
q1261,tag_30 tag_34 tag_35 tag_184 tag_185
q773,tag_24 tag_50 tag_183 tag_185
q921,tag_38 tag_39 tag_184 tag_181
q522,tag_24 tag_33 tag_183 tag_181
q1088,tag_31 tag_32 tag_181 tag_183
q1037,tag_31 tag_32 tag_184 tag_183
q1368,tag_30 tag_24 tag_33 tag_181 tag_183
q67,tag_4 tag_2 tag_181
q8097,tag_11 tag_7 tag_181
q8116,tag_1 tag_2 tag_184
q92,tag_4 tag_2 tag_182
q8167,tag_9 tag_2 tag_179 tag_181
q33,tag_4 tag_2 tag_179 tag_183
q8122,tag_3 tag_2 tag_181
q5281,tag_93
q6362,tag_80
q5761,tag_102
q10230,tag_84
q4272,tag_89
q5971,tag_84
q9868,tag_77
q5331,tag_116
q6141,tag_87
q8624,tag_76
q6091,tag_87
q4804,tag_119
q5289,tag_79
q10099,tag_83
q5407,tag_133
q4348,tag_71
q3730,tag_78
q9012,tag_81
q6518,tag_80
q4222,tag_71
q4172,tag_144
q8906,tag_78
q4219,tag_71
q4529,tag_123
q4478,tag_112
q10205,tag_106
q5041,tag_134
q6494,tag_113
q5307,tag_130
q9078,tag_86
q8417,tag_105
q6191,tag_121
q9748,tag_94
q3791,tag_82
q5780,tag_110
q4767,tag_101
q8760,tag_85
q4163,tag_75
q5603,tag_84
q9711,tag_83
q5437,tag_82
q4487,tag_114
q9387,tag_119
q3910,tag_118
q6511,tag_92
q8668,tag_87
q10302,tag_76
q4706,tag_71
q5219,tag_123
q10064,tag_76
q4564,tag_131
q5736,tag_75
q4480,tag_99
q10323,tag_96
q6182,tag_72
q6322,tag_129
q5585,tag_104
q8800,tag_85
q4297,tag_125
q4507,tag_88
q5391,tag_138
q8939,tag_78
q6748,tag_78
q3997,tag_103
q4775,tag_144
q8707,tag_88
q4512,tag_93
q5468,tag_106
q3952,tag_76
q9023,tag_94
q3804,tag_86
q6103,tag_121
q5536,tag_84
q8979,tag_116
q5929,tag_122
q4031,tag_135
q9812,tag_112
q6523,tag_115
q5255,tag_90
q5689,tag_74
q9402,tag_112
q4533,tag_125
q5415,tag_133
q3943,tag_76
q8834,tag_111
q8656,tag_87
q5754,tag_74
q9686,tag_77
q5593,tag_98
q6222,tag_99
q5245,tag_138
q8746,tag_128
q5062,tag_109
q4557,tag_100
q5681,tag_89
q9171,tag_77
q5233,tag_73
q4744,tag_104
q4473,tag_109
q9738,tag_85
q6058,tag_87
q4467,tag_108
q4833,tag_95
q9457,tag_77
q3829,tag_82
q6163,tag_93
q8527,tag_76
q6088,tag_119
q5323,tag_114
q9703,tag_76
q5070,tag_79
q9974,tag_76
q4421,tag_98
q3888,tag_74
q4510,tag_118
q9947,tag_77
q5100,tag_74
q4710,tag_71
q5998,tag_84
q9453,tag_77
q8482,tag_108
q6397,tag_77
q6536,tag_119
q8523,tag_77
q5094,tag_138
q4013,tag_76
q10177,tag_85
q5401,tag_97
q5398,tag_105
q8719,tag_144
q4403,tag_137
q9687,tag_85
q5264,tag_122
q3682,tag_104
q9830,tag_85
q3915,tag_130
q5762,tag_83
q9380,tag_119
q4766,tag_82
q6432,tag_71
q8536,tag_76
q3689,tag_89
q9638,tag_133
q5738,tag_118
q9366,tag_128
q9628,tag_78
q6112,tag_87
q9708,tag_77
q9612,tag_89
q9831,tag_77
q5735,tag_75
q10065,tag_76
q4146,tag_79
q6147,tag_89
q10258,tag_77
q6043,tag_103
q4483,tag_113
q5596,tag_104
q10001,tag_83
q3782,tag_103
q6073,tag_123
q5327,tag_114
q9549,tag_94
q4277,tag_73
q6192,tag_87
q9397,tag_95
q5256,tag_120
q6521,tag_116
q5740,tag_118
q8633,tag_76
q4872,tag_100
q5458,tag_106
q9606,tag_89
q10262,tag_76
q5488,tag_86
q6337,tag_79
q9128,tag_77
q5262,tag_108
q5765,tag_91
q8507,tag_85
q5221,tag_123
q4785,tag_88
q8810,tag_124
q6351,tag_130
q9774,tag_87
q4754,tag_88
q4166,tag_145
q4115,tag_87
q9532,tag_129
q6425,tag_77
q5784,tag_144
q10312,tag_78
q4544,tag_94
q3770,tag_72
q3691,tag_137
q10311,tag_71
q4519,tag_117
q4370,tag_84
q3774,tag_136
q8501,tag_77
q4030,tag_72
q5507,tag_96
q10186,tag_77
q4518,tag_79
q4035,tag_81
q5537,tag_80
q10256,tag_77
q3989,tag_77
q4338,tag_83
q6501,tag_113
q8813,tag_113
q6201,tag_119
q6378,tag_85
q6333,tag_117
q8982,tag_116
q5669,tag_120
q6399,tag_77
q9516,tag_83
q5854,tag_104
q9713,tag_85
q4592,tag_133
q5393,tag_133
q4659,tag_71
q9123,tag_85
q6180,tag_77
q3838,tag_103
q8698,tag_87
q9797,tag_74
q5230,tag_122
q9957,tag_106
q4053,tag_74
q5737,tag_75
q5251,tag_73
q8824,tag_108
q5238,tag_138
q4388,tag_98
q9361,tag_87
q3700,tag_126
q4530,tag_124
q5057,tag_144
q9786,tag_71
q4137,tag_88
q3911,tag_115
q3798,tag_86
q9174,tag_85
q5218,tag_95
q6111,tag_121
q9892,tag_74
q5337,tag_92
q5764,tag_98
q5078,tag_117
q8619,tag_77
q6063,tag_73
q986,tag_24 tag_26 tag_181 tag_182
q685,tag_23 tag_24 tag_25 tag_184 tag_181
q808,tag_28 tag_32 tag_181 tag_184
q6977,tag_82
q6979,tag_83
q6980,tag_143
q6978,tag_134
q8524,tag_85
q3699,tag_123
q5665,tag_73
q4319,tag_101
q10081,tag_83
q8460,tag_105
q5405,tag_97
q6042,tag_106
q9160,tag_76
q4055,tag_133
q6742,tag_104
q5316,tag_113
q9053,tag_77
q5636,tag_77
q4432,tag_104
q5044,tag_108
q10263,tag_77
q6474,tag_119
q3802,tag_86
q6444,tag_77
q9573,tag_130
q6982,tag_80
q6983,tag_112
q6981,tag_76
q6984,tag_143
q5237,tag_72
q6179,tag_85
q9404,tag_112
q4554,tag_130
q4318,tag_91
q4230,tag_71
q539,tag_179 tag_34 tag_35 tag_181 tag_185
q973,tag_28 tag_29 tag_183 tag_184
q280,tag_38 tag_39 tag_182 tag_181
q763,tag_30 tag_34 tag_35 tag_183 tag_184
q581,tag_24 tag_26 tag_183 tag_184
q739,tag_30 tag_24 tag_25 tag_182 tag_181
q1224,tag_30 tag_34 tag_42 tag_185 tag_184
q4162,tag_84
q4578,tag_76
q307,tag_30 tag_24 tag_48 tag_181 tag_182
