question_id,tags,Pseudoteks (clean_text)
q8124,6;7;183,tag_6 tag_7 tag_183
q53,19;2;183,tag_19 tag_2 tag_183
q1,1;2;179;181,tag_1 tag_2 tag_179 tag_181
q1015,44;45;181;185,tag_44 tag_45 tag_181 tag_185
q654,23;24;25;183;181,tag_23 tag_24 tag_25 tag_183 tag_181
q2319,179;53;183;184,tag_179 tag_53 tag_183 tag_184
q2320,52;183;184,tag_52 tag_183 tag_184
q2321,52;183;184,tag_52 tag_183 tag_184
q2175,53;184;183,tag_53 tag_184 tag_183
q2176,179;52;184;183,tag_179 tag_52 tag_184 tag_183
q2177,54;184;183,tag_54 tag_184 tag_183
q2154,56;182;183,tag_56 tag_182 tag_183
q2155,53;182;183,tag_53 tag_182 tag_183
q2156,54;182;183,tag_54 tag_182 tag_183
q1749,52;185;186,tag_52 tag_185 tag_186
q1750,58;185;186,tag_58 tag_185 tag_186
q1751,54;185;186,tag_54 tag_185 tag_186
q1887,56;183;182,tag_56 tag_183 tag_182
q1888,52;183;182,tag_52 tag_183 tag_182
q1889,57;183;182,tag_57 tag_183 tag_182
q1728,53;182;183,tag_53 tag_182 tag_183
q1729,58;182;183,tag_58 tag_182 tag_183
q1730,55;182;183,tag_55 tag_182 tag_183
q1869,53;182;183,tag_53 tag_182 tag_183
q1870,57;182;183,tag_57 tag_182 tag_183
q1871,55;182;183,tag_55 tag_182 tag_183
q1797,53;182;181,tag_53 tag_182 tag_181
q1798,54;182;181,tag_54 tag_182 tag_181
q1799,55;182;181,tag_55 tag_182 tag_181
q1941,53;181;182,tag_53 tag_181 tag_182
q1942,179;54;181;182,tag_179 tag_54 tag_181 tag_182
q1943,55;181;182,tag_55 tag_181 tag_182
q1683,56;183;185,tag_56 tag_183 tag_185
q1684,179;53;183;185,tag_179 tag_53 tag_183 tag_185
q1685,55;183;185,tag_55 tag_183 tag_185
q1773,52;185;184;183,tag_52 tag_185 tag_184 tag_183
q1774,54;185;184;183,tag_54 tag_185 tag_184 tag_183
q1775,52;185;184;183,tag_52 tag_185 tag_184 tag_183
q2559,53;181;182,tag_53 tag_181 tag_182
q2560,54;181;182,tag_54 tag_181 tag_182
q2561,179;52;181;182,tag_179 tag_52 tag_181 tag_182
q1215,30;24;33;185;181,tag_30 tag_24 tag_33 tag_185 tag_181
q315,24;26;181;183,tag_24 tag_26 tag_181 tag_183
q1167,179;34;35;182;181,tag_179 tag_34 tag_35 tag_182 tag_181
q197,24;25;183;181,tag_24 tag_25 tag_183 tag_181
q414,30;34;42;185;181,tag_30 tag_34 tag_42 tag_185 tag_181
q1396,24;25;182;181,tag_24 tag_25 tag_182 tag_181
q876,179;44;45;181;185,tag_179 tag_44 tag_45 tag_181 tag_185
q1389,28;29;184;181,tag_28 tag_29 tag_184 tag_181
q416,30;28;29;185;181,tag_30 tag_28 tag_29 tag_185 tag_181
q6440,94,tag_94
q4131,134,tag_134
q237,23;46;47;185;181,tag_23 tag_46 tag_47 tag_185 tag_181
q4526,95,tag_95
q6335,79,tag_79
q5286,79,tag_79
q4820,144,tag_144
q6502,113,tag_113
q5767,133,tag_133
q6550,128,tag_128
q836,24;50;184;181,tag_24 tag_50 tag_184 tag_181
q424,27;24;26;185;183,tag_27 tag_24 tag_26 tag_185 tag_183
q498,30;24;25;181;183,tag_30 tag_24 tag_25 tag_181 tag_183
q1012,23;24;33;184;185,tag_23 tag_24 tag_33 tag_184 tag_185
q469,179;28;29;182;184,tag_179 tag_28 tag_29 tag_182 tag_184
q636,31;32;184;183,tag_31 tag_32 tag_184 tag_183
q1325,30;38;39;181;185,tag_30 tag_38 tag_39 tag_181 tag_185
q711,24;50;185;183,tag_24 tag_50 tag_185 tag_183
q510,34;35;184;182,tag_34 tag_35 tag_184 tag_182
q598,24;48;182;183,tag_24 tag_48 tag_182 tag_183
q1067,28;29;184;183,tag_28 tag_29 tag_184 tag_183
q444,30;179;28;29;185;184,tag_30 tag_179 tag_28 tag_29 tag_185 tag_184
q1288,24;26;185;183,tag_24 tag_26 tag_185 tag_183
q591,28;29;183;181,tag_28 tag_29 tag_183 tag_181
q1194,30;31;32;182;184,tag_30 tag_31 tag_32 tag_182 tag_184
q639,51;24;33;181;183,tag_51 tag_24 tag_33 tag_181 tag_183
q419,34;42;185;183,tag_34 tag_42 tag_185 tag_183
q789,179;31;32;185;183,tag_179 tag_31 tag_32 tag_185 tag_183
q681,24;26;182;183,tag_24 tag_26 tag_182 tag_183
q1182,179;46;47;183;182,tag_179 tag_46 tag_47 tag_183 tag_182
q754,28;29;183;184,tag_28 tag_29 tag_183 tag_184
q1378,34;42;182;183,tag_34 tag_42 tag_182 tag_183
q219,44;45;185;184,tag_44 tag_45 tag_185 tag_184
q570,24;40;184;181,tag_24 tag_40 tag_184 tag_181
q997,179;44;49;183;181,tag_179 tag_44 tag_49 tag_183 tag_181
q5459,96,tag_96
q4765,118,tag_118
q4099,83,tag_83
q5329,115,tag_115
q4288,94,tag_94
q4698,71,tag_71
q4597,134,tag_134
q5322,114,tag_114
q6242,94,tag_94
q6390,111,tag_111
q5741,118,tag_118
q5280,93,tag_93
q4505,75,tag_75
q5342,135,tag_135
q4300,138,tag_138
q5058,85,tag_85
q5395,133,tag_133
q5769,89,tag_89
q5676,122,tag_122
q5683,137,tag_137
q5381,84,tag_84
q3967,83,tag_83
q4262,96,tag_96
q4645,71,tag_71
q5667,124,tag_124
q6466,91,tag_91
q4438,104,tag_104
q4822,90,tag_90
q4283,83,tag_83
q4324,76,tag_76
q5328,115,tag_115
q5390,138,tag_138
q3931,107,tag_107
q4536,126,tag_126
q9592,119,tag_119
q6732,130,tag_130
q4821,83,tag_83
q8170,10;7;184,tag_10 tag_7 tag_184
q16,20;21;182,tag_20 tag_21 tag_182
q187,4;2;181,tag_4 tag_2 tag_181
q162,3;2;183,tag_3 tag_2 tag_183
q34,5;2;179;181,tag_5 tag_2 tag_179 tag_181
q4200,101,tag_101
q3756,96,tag_96
q4476,111,tag_111
q3935,142,tag_142
q4199,124,tag_124
q3947,76,tag_76
q4470,109,tag_109
q6469,81,tag_81
q4565,131,tag_131
q5560,84,tag_84
q6332,94,tag_94
q3795,86,tag_86
q5186,74,tag_74
q5318,92,tag_92
q5595,98,tag_98
q4490,115,tag_115
q4877,132,tag_132
q6724,77,tag_77
q3928,141,tag_141
q4591,117,tag_117
q4791,94,tag_94
q5220,126,tag_126
q4113,105,tag_105
q4498,117,tag_117
q6101,120,tag_120
q6497,115,tag_115
q4280,83,tag_83
q5049,144,tag_144
q4096,99,tag_99
q3625,74,tag_74
q65,12;2;183,tag_12 tag_2 tag_183
q188,19;2;185,tag_19 tag_2 tag_185
q192,3;2;185,tag_3 tag_2 tag_185
q24,6;7;184,tag_6 tag_7 tag_184
q8053,6;7;181,tag_6 tag_7 tag_181
q5785,109,tag_109
q3678,85,tag_85
q5909,80,tag_80
q4189,81,tag_81
q5624,96,tag_96
q5524,82,tag_82
q5757,103,tag_103
q3909,124,tag_124
q4920,77,tag_77
q10048,78,tag_78
q103,4;2;184,tag_4 tag_2 tag_184
q8057,8;2;183,tag_8 tag_2 tag_183
q8065,22;2;183,tag_22 tag_2 tag_183
q111,13;2;181,tag_13 tag_2 tag_181
q8172,20;21;182,tag_20 tag_21 tag_182
q8140,3;2;181,tag_3 tag_2 tag_181
q8181,14;2;183,tag_14 tag_2 tag_183
q149,13;2;181,tag_13 tag_2 tag_181
q38,3;2;182,tag_3 tag_2 tag_182
q7,11;7;179;183,tag_11 tag_7 tag_179 tag_183
q15,14;2;181,tag_14 tag_2 tag_181
q10,17;7;182,tag_17 tag_7 tag_182
q135,4;2;183,tag_4 tag_2 tag_183
q190,6;7;181,tag_6 tag_7 tag_181
q56,15;2;179;182,tag_15 tag_2 tag_179 tag_182
q32,3;2;179;182,tag_3 tag_2 tag_179 tag_182
q108,10;7;182,tag_10 tag_7 tag_182
q9471,106,tag_106
q5267,123,tag_123
q4474,110,tag_110
q4601,135,tag_135
q8545,85,tag_85
q5056,110,tag_110
q5330,116,tag_116
q4153,88,tag_88
q8189,74,tag_74
q4747,101,tag_101
q5362,78,tag_78
q8080,1;2;185,tag_1 tag_2 tag_185
q195,20;21;185,tag_20 tag_21 tag_185
q8056,5;2;184,tag_5 tag_2 tag_184
q8054,6;7;179;182,tag_6 tag_7 tag_179 tag_182
q183,15;2;179;183,tag_15 tag_2 tag_179 tag_183
q8125,18;7;184,tag_18 tag_7 tag_184
q49,6;7;179;183,tag_6 tag_7 tag_179 tag_183
q170,9;2;183,tag_9 tag_2 tag_183
q8086,9;2;183,tag_9 tag_2 tag_183
q8075,22;2;183,tag_22 tag_2 tag_183
q8096,19;2;184,tag_19 tag_2 tag_184
q8099,16;2;183,tag_16 tag_2 tag_183
q8131,18;7;181,tag_18 tag_7 tag_181
q66,15;2;185,tag_15 tag_2 tag_185
q186,12;2;182,tag_12 tag_2 tag_182
q8105,4;2;183,tag_4 tag_2 tag_183
q8112,1;2;179;184,tag_1 tag_2 tag_179 tag_184
q175,17;7;184,tag_17 tag_7 tag_184
q13,1;2;183,tag_1 tag_2 tag_183
q99,18;7;179;182,tag_18 tag_7 tag_179 tag_182
q1181,24;43;184;181,tag_24 tag_43 tag_184 tag_181
q334,24;50;185;184,tag_24 tag_50 tag_185 tag_184
q605,38;37;181;184,tag_38 tag_37 tag_181 tag_184
q1160,184;181,tag_184 tag_181
q1285,179;38;39;182;181,tag_179 tag_38 tag_39 tag_182 tag_181
q778,44;45;183;181,tag_44 tag_45 tag_183 tag_181
q536,30;179;38;39;183;181,tag_30 tag_179 tag_38 tag_39 tag_183 tag_181
q1349,24;48;182;183,tag_24 tag_48 tag_182 tag_183
q477,44;45;183;181,tag_44 tag_45 tag_183 tag_181
q210,36;32;185;181,tag_36 tag_32 tag_185 tag_181
q957,27;36;37;184;183,tag_27 tag_36 tag_37 tag_184 tag_183
q1005,30;38;39;182;184,tag_30 tag_38 tag_39 tag_182 tag_184
q769,23;24;25;183;185,tag_23 tag_24 tag_25 tag_183 tag_185
q3921,132,tag_132
q276,30;34;35;183;182,tag_30 tag_34 tag_35 tag_183 tag_182
q1295,30;44;45;181;185,tag_30 tag_44 tag_45 tag_181 tag_185
q384,44;45;185;183,tag_44 tag_45 tag_185 tag_183
q4521,73,tag_73
q5575,104,tag_104
q6402,77,tag_77
q6394,77,tag_77
q4114,76,tag_76
q8690,119,tag_119
q4492,116,tag_116
q1315,38;39;181;185,tag_38 tag_39 tag_181 tag_185
q4291,84,tag_84
q4607,78,tag_78
q4617,83,tag_83
q6173,77,tag_77
q5135,74,tag_74
q4045,133,tag_133
q6507,114,tag_114
q3655,105,tag_105
q3767,86,tag_86
q4484,81,tag_81
q9671,85,tag_85
q5442,96,tag_96
q4494,114,tag_114
q5257,125,tag_125
q8907,78,tag_78
q5746,129,tag_129
q8687,122,tag_122
q6740,102,tag_102
q8837,111,tag_111
q5406,134,tag_134
q10274,76,tag_76
q5662,87,tag_87
q4500,117,tag_117
q4517,79,tag_79
q8196,83,tag_83
q1050,36;37;185;181,tag_36 tag_37 tag_185 tag_181
q670,179;34;42;182;183,tag_179 tag_34 tag_42 tag_182 tag_183
q543,24;50;182;183,tag_24 tag_50 tag_182 tag_183
q11261,30;44;49;184;181,tag_30 tag_44 tag_49 tag_184 tag_181
q198,31;32;185;183,tag_31 tag_32 tag_185 tag_183
q926,24;40;182;181,tag_24 tag_40 tag_182 tag_181
q764,23;24;25;183;181,tag_23 tag_24 tag_25 tag_183 tag_181
q11259,27;44;49;181;184,tag_27 tag_44 tag_49 tag_181 tag_184
q954,30;31;42;184;182,tag_30 tag_31 tag_42 tag_184 tag_182
q1185,24;41;182;181,tag_24 tag_41 tag_182 tag_181
q287,30;34;35;182;181,tag_30 tag_34 tag_35 tag_182 tag_181
q11262,30;44;49;183;182,tag_30 tag_44 tag_49 tag_183 tag_182
q600,23;24;33;184;181,tag_23 tag_24 tag_33 tag_184 tag_181
q648,30;44;45;182;181,tag_30 tag_44 tag_45 tag_182 tag_181
q478,34;42;182;184,tag_34 tag_42 tag_182 tag_184
q11263,30;44;49;182;183,tag_30 tag_44 tag_49 tag_182 tag_183
q698,30;24;25;183;182,tag_30 tag_24 tag_25 tag_183 tag_182
q534,34;42;181;185,tag_34 tag_42 tag_181 tag_185
q5580,84,tag_84
q4901,79,tag_79
q3665,144,tag_144
q8611,77,tag_77
q5511,82,tag_82
q9828,141,tag_141
q5082,88,tag_88
q355,30;36;37;184;181,tag_30 tag_36 tag_37 tag_184 tag_181
q1210,27;24;26;181;185,tag_27 tag_24 tag_26 tag_181 tag_185
q406,46;47;183;181,tag_46 tag_47 tag_183 tag_181
q587,36;37;181;183,tag_36 tag_37 tag_181 tag_183
q1291,46;47;184;183,tag_46 tag_47 tag_184 tag_183
q677,31;32;181;182,tag_31 tag_32 tag_181 tag_182
q1108,36;37;183;185,tag_36 tag_37 tag_183 tag_185
q393,185;183;30;36;37,tag_185 tag_183 tag_30 tag_36 tag_37
q848,24;48;183;181,tag_24 tag_48 tag_183 tag_181
q4193,85,tag_85
q5731,75,tag_75
q10119,77,tag_77
q5680,85,tag_85
q6015,98,tag_98
q8740,138,tag_138
q4129,77,tag_77
q4632,132,tag_132
q10191,77,tag_77
q250,179;38;39;181;185,tag_179 tag_38 tag_39 tag_181 tag_185
q814,24;40;185;183,tag_24 tag_40 tag_185 tag_183
q1106,31;32;185;181,tag_31 tag_32 tag_185 tag_181
q854,23;24;25;181;185,tag_23 tag_24 tag_25 tag_181 tag_185
q970,27;38;37;182;181,tag_27 tag_38 tag_37 tag_182 tag_181
q1388,24;41;184;183,tag_24 tag_41 tag_184 tag_183
q474,31;32;182;183,tag_31 tag_32 tag_182 tag_183
q1392,34;42;181;183,tag_34 tag_42 tag_181 tag_183
q767,24;48;181;183,tag_24 tag_48 tag_181 tag_183
q4181,135,tag_135
q5231,95,tag_95
q4495,114,tag_114
q5305,130,tag_130
q5416,134,tag_134
q4304,113,tag_113
q5516,82,tag_82
q9106,76,tag_76
q5687,124,tag_124
q3692,126,tag_126
q278,27;46;47;181;183,tag_27 tag_46 tag_47 tag_181 tag_183
q569,24;48;182;183,tag_24 tag_48 tag_182 tag_183
q1227,24;26;183;181,tag_24 tag_26 tag_183 tag_181
q1052,179;38;39;183;181,tag_179 tag_38 tag_39 tag_183 tag_181
q506,44;45;184;182,tag_44 tag_45 tag_184 tag_182
q722,51;24;33;185;181,tag_51 tag_24 tag_33 tag_185 tag_181
q281,44;45;184;182,tag_44 tag_45 tag_184 tag_182
q455,23;24;33;184;182,tag_23 tag_24 tag_33 tag_184 tag_182
q1244,34;35;185;181,tag_34 tag_35 tag_185 tag_181
q1379,24;48;184;182,tag_24 tag_48 tag_184 tag_182
q5648,128,tag_128
q10145,85,tag_85
q6454,88,tag_88
q4402,137,tag_137
q5339,92,tag_92
q9086,78,tag_78
q6056,90,tag_90
q5348,72,tag_72
q9578,125,tag_125
q10327,71,tag_71
q550,24;41;181;184,tag_24 tag_41 tag_181 tag_184
q1041,28;29;181;183,tag_28 tag_29 tag_181 tag_183
q927,179;34;35;184;182,tag_179 tag_34 tag_35 tag_184 tag_182
q678,38;37;182;183,tag_38 tag_37 tag_182 tag_183
q881,27;179;44;45;181;182,tag_27 tag_179 tag_44 tag_45 tag_181 tag_182
q1193,51;24;33;181;183,tag_51 tag_24 tag_33 tag_181 tag_183
q1156,31;32;182;181,tag_31 tag_32 tag_182 tag_181
q749,24;41;183;184,tag_24 tag_41 tag_183 tag_184
q457,23;24;25;183;182,tag_23 tag_24 tag_25 tag_183 tag_182
q540,28;45;184;183,tag_28 tag_45 tag_184 tag_183
q853,31;32;183;185,tag_31 tag_32 tag_183 tag_185
q866,44;45;185;183,tag_44 tag_45 tag_185 tag_183
q1367,30;36;37;182;181,tag_30 tag_36 tag_37 tag_182 tag_181
q1330,24;40;185;181,tag_24 tag_40 tag_185 tag_181
q431,179;24;43;183;185,tag_179 tag_24 tag_43 tag_183 tag_185
q693,34;35;181;183,tag_34 tag_35 tag_181 tag_183
q485,30;34;35;184;182,tag_30 tag_34 tag_35 tag_184 tag_182
q1161,27;24;25;181;183,tag_27 tag_24 tag_25 tag_181 tag_183
q603,24;40;184;182,tag_24 tag_40 tag_184 tag_182
q5073,93,tag_93
q9006,78,tag_78
q6393,77,tag_77
q5338,116,tag_116
q4627,119,tag_119
q9448,85,tag_85
q847,24;33;184;182,tag_24 tag_33 tag_184 tag_182
q1345,30;179;46;47;185;183,tag_30 tag_179 tag_46 tag_47 tag_185 tag_183
q803,179;46;47;181;185,tag_179 tag_46 tag_47 tag_181 tag_185
q223,36;37;185;183,tag_36 tag_37 tag_185 tag_183
q415,24;41;185;181,tag_24 tag_41 tag_185 tag_181
q734,44;45;183;181,tag_44 tag_45 tag_183 tag_181
q1155,23;24;25;184;182,tag_23 tag_24 tag_25 tag_184 tag_182
q1198,24;26;181;183,tag_24 tag_26 tag_181 tag_183
q267,30;28;29;184;183,tag_30 tag_28 tag_29 tag_184 tag_183
q886,36;37;181;184,tag_36 tag_37 tag_181 tag_184
q4468,108,tag_108
q9841,85,tag_85
q4729,91,tag_91
q4316,101,tag_101
q5591,80,tag_80
q10279,77,tag_77
q5781,107,tag_107
q4805,92,tag_92
q5652,140,tag_140
q8926,81,tag_81
q715,30;34;35;181;185,tag_30 tag_34 tag_35 tag_181 tag_185
q254,36;37;185;183,tag_36 tag_37 tag_185 tag_183
q618,38;39;182;183,tag_38 tag_39 tag_182 tag_183
q955,23;24;25;182;184,tag_23 tag_24 tag_25 tag_182 tag_184
q1342,36;37;183;181,tag_36 tag_37 tag_183 tag_181
q403,30;44;45;183;184,tag_30 tag_44 tag_45 tag_183 tag_184
q714,30;24;33;183;185,tag_30 tag_24 tag_33 tag_183 tag_185
q1229,30;31;32;184;183,tag_30 tag_31 tag_32 tag_184 tag_183
q948,36;37;183;184,tag_36 tag_37 tag_183 tag_184
q6168,76,tag_76
q5783,107,tag_107
q8474,74,tag_74
q9514,83,tag_83
q4042,116,tag_116
q6377,85,tag_85
q5744,129,tag_129
q8795,76,tag_76
q5250,73,tag_73
q5732,88,tag_88
q200,51;24;26;181;185,tag_51 tag_24 tag_26 tag_181 tag_185
q224,28;32;185;183,tag_28 tag_32 tag_185 tag_183
q1070,30;179;34;35;182;183,tag_30 tag_179 tag_34 tag_35 tag_182 tag_183
q887,44;49;183;184,tag_44 tag_49 tag_183 tag_184
q266,24;26;181;184,tag_24 tag_26 tag_181 tag_184
q915,31;42;181;183,tag_31 tag_42 tag_181 tag_183
q776,23;24;33;185;181,tag_23 tag_24 tag_33 tag_185 tag_181
q217,24;48;181;185,tag_24 tag_48 tag_181 tag_185
q726,46;47;185;183,tag_46 tag_47 tag_185 tag_183
q6230,77,tag_77
q9682,85,tag_85
q3914,126,tag_126
q4600,135,tag_135
q4001,118,tag_118
q10324,77,tag_77
q4360,103,tag_103
q5066,93,tag_93
q6017,96,tag_96
q9784,74,tag_74
q270,30;34;35;184;181,tag_30 tag_34 tag_35 tag_184 tag_181
q696,27;44;45;182;184,tag_27 tag_44 tag_45 tag_182 tag_184
q940,30;179;28;47;181;182,tag_30 tag_179 tag_28 tag_47 tag_181 tag_182
q263,24;48;184;181,tag_24 tag_48 tag_184 tag_181
q1373,24;50;182;184,tag_24 tag_50 tag_182 tag_184
q1034,24;26;185;183,tag_24 tag_26 tag_185 tag_183
q621,23;24;25;183;181,tag_23 tag_24 tag_25 tag_183 tag_181
q436,28;42;183;181,tag_28 tag_42 tag_183 tag_181
q236,44;45;183;185,tag_44 tag_45 tag_183 tag_185
q326,24;43;183;181,tag_24 tag_43 tag_183 tag_181
q5739,94,tag_94
q6224,99,tag_99
q9869,76,tag_76
q4537,72,tag_72
q4410,98,tag_98
q5336,92,tag_92
q9810,112,tag_112
q5941,84,tag_84
q5071,93,tag_93
q243,27;28;29;185;183,tag_27 tag_28 tag_29 tag_185 tag_183
q1297,24;48;185;181,tag_24 tag_48 tag_185 tag_181
q1087,34;42;183;182,tag_34 tag_42 tag_183 tag_182
q975,30;34;42;182;181,tag_30 tag_34 tag_42 tag_182 tag_181
q1376,24;43;183;181,tag_24 tag_43 tag_183 tag_181
q673,30;36;32;183;182,tag_30 tag_36 tag_32 tag_183 tag_182
q1107,24;48;183;181,tag_24 tag_48 tag_183 tag_181
q875,34;35;185;183,tag_34 tag_35 tag_185 tag_183
q932,24;40;184;181,tag_24 tag_40 tag_184 tag_181
q589,44;45;182;181,tag_44 tag_45 tag_182 tag_181
q8120,9;2;183,tag_9 tag_2 tag_183
q157,14;2;179;181,tag_14 tag_2 tag_179 tag_181
q52,22;2;182,tag_22 tag_2 tag_182
q51,14;2;181,tag_14 tag_2 tag_181
q8094,4;2;179;182,tag_4 tag_2 tag_179 tag_182
q153,8;2;179;182,tag_8 tag_2 tag_179 tag_182
q105,5;2;179;182,tag_5 tag_2 tag_179 tag_182
q109,4;2;183,tag_4 tag_2 tag_183
q8169,5;2;183,tag_5 tag_2 tag_183
q26,6;7;182,tag_6 tag_7 tag_182
q184,20;21;179;184,tag_20 tag_21 tag_179 tag_184
q5,8;2;179;181,tag_8 tag_2 tag_179 tag_181
q8182,4;2;182,tag_4 tag_2 tag_182
q46,17;7;179;182,tag_17 tag_7 tag_179 tag_182
q173,17;7;182,tag_17 tag_7 tag_182
q101,8;2;182,tag_8 tag_2 tag_182
q1233,23;179;24;33;185;183,tag_23 tag_179 tag_24 tag_33 tag_185 tag_183
q358,34;35;181;183,tag_34 tag_35 tag_181 tag_183
q482,179;46;47;183;181,tag_179 tag_46 tag_47 tag_183 tag_181
q1252,30;24;25;181;185,tag_30 tag_24 tag_25 tag_181 tag_185
q935,179;24;50;184;183,tag_179 tag_24 tag_50 tag_184 tag_183
q841,38;39;184;181,tag_38 tag_39 tag_184 tag_181
q933,24;48;181;183,tag_24 tag_48 tag_181 tag_183
q1238,31;32;183;185,tag_31 tag_32 tag_183 tag_185
q325,38;39;185;181,tag_38 tag_39 tag_185 tag_181
q823,24;40;183;181,tag_24 tag_40 tag_183 tag_181
q541,30;31;32;183;181,tag_30 tag_31 tag_32 tag_183 tag_181
q731,24;43;185;184,tag_24 tag_43 tag_185 tag_184
